==================== 2026-06-18T17:18:09.793606Z | 00000000-0000-0000-0000-000000000000 ====================
==================== 2026-06-18T17:18:09.793895Z | d58f67d7-0adb-42ec-badb-b52ee0710457 ====================
17:18:09.793947 [info ]: Starting dbt LSP server
17:18:09.794011 [info ]: Connecting to LSP client on port 8000
17:18:09.794304 [info ]: Successfully connected to LSP client
17:18:09.794336 [info ]: Creating LSP service...
17:18:09.850638 [info ]: Creating LSP server...
17:18:09.850649 [info ]: Starting LSP server...
17:18:09.876818 [info ]: Loading profiles.yml
17:18:10.164673 [info ]: Loading profiles.yml
==================== 2026-06-18T17:18:11.371762Z | 00000000-0000-0000-0000-000000000000 ====================
==================== 2026-06-18T17:18:11.371855Z | 9ff451df-473b-48b2-a634-414a961a9fe9 ====================
17:18:11.371868 [info ]: Starting dbt LSP server
17:18:11.371879 [info ]: Connecting to LSP client on port 8000
17:18:11.372026 [info ]: Successfully connected to LSP client
17:18:11.372045 [info ]: Creating LSP service...
17:18:11.420532 [info ]: Creating LSP server...
17:18:11.420546 [info ]: Starting LSP server...
17:18:11.423261 [info ]: Loading profiles.yml
17:18:22.881849 [info ]: Loading profiles.yml
17:18:40.311146 [info ]: Loading profiles.yml
17:19:17.954966 [info ]: Loading profiles.yml
17:19:32.925066 [info ]: Loading profiles.yml
17:19:34.094450 [info ]: Loading profiles.yml
17:19:50.457358 [info ]: Loading profiles.yml
17:20:02.174516 [info ]: Loading profiles.yml
17:20:11.157230 [info ]: Loading profiles.yml
17:21:04.587446 [info ]: Loading profiles.yml
17:21:56.458949 [info ]: Loading profiles.yml
17:22:49.136709 [info ]: Loading profiles.yml
17:23:45.246184 [info ]: Loading profiles.yml
17:24:16.894892 [info ]: Loading profiles.yml
17:24:24.503614 [info ]: Loading profiles.yml
17:24:40.046790 [info ]: Loading profiles.yml
17:25:34.186261 [info ]: Loading profiles.yml
17:26:28.378212 [info ]: Loading profiles.yml
17:27:22.118826 [info ]: Loading profiles.yml
17:28:14.672643 [info ]: Loading profiles.yml
17:29:06.816485 [info ]: Loading profiles.yml
17:29:59.114000 [info ]: Loading profiles.yml
17:30:00.019882 [info ]: Loading profiles.yml
17:30:00.324373 [info ]: Loading profiles.yml
17:30:02.686663 [info ]: Loading profiles.yml
17:30:13.212650 [info ]: Loading profiles.yml
17:30:52.132626 [info ]: Loading profiles.yml
17:31:23.534194 [info ]: Loading profiles.yml
17:31:48.752320 [info ]: Loading profiles.yml
17:31:52.172944 [info ]: Loading profiles.yml
17:32:47.715377 [info ]: Loading profiles.yml
17:32:54.643486 [info ]: Loading profiles.yml
17:32:57.381369 [info ]: Loading profiles.yml
17:33:02.181661 [info ]: Loading profiles.yml
17:33:06.108185 [info ]: Loading profiles.yml
17:33:44.286985 [info ]: Loading profiles.yml
17:34:46.441639 [info ]: Loading profiles.yml
17:35:39.699056 [info ]: Loading profiles.yml
17:36:32.989304 [info ]: Loading profiles.yml
17:37:26.390521 [info ]: Loading profiles.yml
17:38:23.378792 [info ]: Loading profiles.yml
17:39:18.175937 [info ]: Loading profiles.yml
17:40:12.428208 [info ]: Loading profiles.yml
17:41:05.689599 [info ]: Loading profiles.yml
17:41:58.293603 [info ]: Loading profiles.yml
17:42:54.828879 [info ]: Loading profiles.yml
17:43:52.639820 [info ]: Loading profiles.yml
17:44:24.403280 [info ]: Loading profiles.yml
17:44:28.010155 [info ]: Loading profiles.yml
17:44:29.912082 [info ]: Loading profiles.yml
17:44:44.973175 [info ]: Loading profiles.yml
17:45:36.943324 [info ]: Loading profiles.yml
17:46:34.036805 [info ]: Loading profiles.yml
17:47:26.385995 [info ]: Loading profiles.yml
17:48:17.423227 [info ]: Loading profiles.yml
17:49:11.627280 [info ]: Loading profiles.yml
17:50:03.372348 [info ]: Loading profiles.yml
17:50:55.265123 [info ]: Loading profiles.yml
17:51:20.232519 [info ]: Loading profiles.yml
17:51:29.174335 [info ]: Loading profiles.yml
17:51:37.133393 [info ]: Loading profiles.yml
17:51:40.584358 [info ]: Loading profiles.yml
17:51:46.041665 [info ]: Loading profiles.yml
17:52:36.941189 [info ]: Loading profiles.yml
17:53:02.333773 [info ]: Loading profiles.yml
17:53:03.222561 [info ]: Loading profiles.yml
17:53:21.518416 [info ]: Loading profiles.yml
17:53:22.736993 [info ]: Loading profiles.yml
17:53:25.602210 [info ]: Loading profiles.yml
17:53:28.714963 [info ]: Loading profiles.yml
17:53:49.105248 [info ]: Loading profiles.yml
17:53:56.501027 [info ]: Loading profiles.yml
17:53:59.170971 [info ]: Loading profiles.yml
17:54:13.333197 [info ]: Loading profiles.yml
17:54:20.235220 [info ]: Loading profiles.yml
17:54:31.968512 [info ]: Loading profiles.yml
17:55:12.711439 [info ]: Loading profiles.yml
17:56:04.035013 [info ]: Loading profiles.yml
17:56:56.210401 [info ]: Loading profiles.yml
17:57:48.956713 [info ]: Loading profiles.yml
17:58:42.231216 [info ]: Loading profiles.yml
17:59:35.900488 [info ]: Loading profiles.yml
18:00:32.218687 [info ]: Loading profiles.yml
18:01:27.460375 [info ]: Loading profiles.yml
18:02:22.169191 [info ]: Loading profiles.yml
18:03:17.720575 [info ]: Loading profiles.yml
18:04:24.686820 [info ]: Loading profiles.yml
18:05:22.763067 [info ]: Loading profiles.yml
18:06:19.810556 [info ]: Loading profiles.yml
18:07:14.260543 [info ]: Loading profiles.yml
18:08:10.521097 [info ]: Loading profiles.yml
18:08:45.042418 [info ]: Loading profiles.yml
18:09:06.909595 [info ]: Loading profiles.yml
18:09:19.175961 [info ]: Loading profiles.yml
18:09:37.507900 [info ]: Loading profiles.yml
18:09:54.486975 [info ]: Loading profiles.yml
18:10:03.291318 [info ]: Loading profiles.yml
18:10:10.848670 [info ]: Loading profiles.yml
18:10:52.904212 [info ]: Loading profiles.yml
18:10:57.075592 [info ]: Loading profiles.yml
18:11:55.597969 [info ]: Loading profiles.yml
18:12:31.804822 [info ]: Loading profiles.yml
18:12:49.621102 [info ]: Loading profiles.yml
18:13:31.140350 [info ]: Loading profiles.yml
18:13:31.500351 [info ]: Loading profiles.yml
18:13:45.999576 [info ]: Loading profiles.yml
18:14:45.438354 [info ]: Loading profiles.yml
18:15:42.500265 [info ]: Loading profiles.yml
18:16:38.068533 [info ]: Loading profiles.yml
18:17:33.073147 [info ]: Loading profiles.yml
18:18:31.407856 [info ]: Loading profiles.yml
18:19:28.857931 [info ]: Loading profiles.yml
18:20:23.640207 [info ]: Loading profiles.yml
18:21:22.554603 [info ]: Loading profiles.yml
18:22:15.693139 [info ]: Loading profiles.yml
18:22:41.424616 [info ]: Loading profiles.yml
18:23:09.490924 [info ]: Loading profiles.yml
18:24:03.206028 [info ]: Loading profiles.yml
18:24:58.588150 [info ]: Loading profiles.yml
18:25:51.758195 [info ]: Loading profiles.yml
18:26:43.832892 [info ]: Loading profiles.yml
18:27:44.007921 [info ]: Loading profiles.yml
18:28:39.111215 [info ]: Loading profiles.yml
18:29:33.250440 [info ]: Loading profiles.yml
18:30:26.533797 [info ]: Loading profiles.yml
18:31:26.315189 [info ]: Loading profiles.yml
18:32:24.807750 [info ]: Loading profiles.yml
18:33:27.686843 [info ]: Loading profiles.yml
18:34:23.408453 [info ]: Loading profiles.yml
18:35:00.077452 [info ]: Loading profiles.yml
18:35:19.375122 [info ]: Loading profiles.yml
18:36:11.399314 [info ]: Loading profiles.yml
18:37:03.844216 [info ]: Loading profiles.yml
18:37:51.374809 [info ]: Loading profiles.yml
18:37:51.388919 [info ]: Started loading project
18:37:51.397121 [info ]: Loading profiles.yml
18:37:51.399974 [info ]: Finished loading project [  0.01s]
18:37:51.778611 [info ]: Loading profiles.yml
18:37:52.280667 [info ]: Loading profiles.yml
18:37:57.975079 [info ]: Loading profiles.yml
18:38:51.866814 [info ]: Loading profiles.yml
18:39:44.341679 [info ]: Loading profiles.yml
18:40:38.361673 [info ]: Loading profiles.yml
18:41:32.191239 [info ]: Loading profiles.yml
18:42:24.308247 [info ]: Loading profiles.yml
18:43:22.556368 [info ]: Loading profiles.yml
18:44:16.913111 [info ]: Loading profiles.yml
18:45:08.936146 [info ]: Loading profiles.yml
18:46:00.383174 [info ]: Loading profiles.yml
18:46:52.539610 [info ]: Loading profiles.yml
18:47:44.298081 [info ]: Loading profiles.yml
18:48:33.410723 [info ]: Loading profiles.yml
18:49:21.551481 [info ]: Loading profiles.yml
18:50:12.773316 [info ]: Loading profiles.yml
18:51:07.408727 [info ]: Loading profiles.yml
18:52:00.362029 [info ]: Loading profiles.yml
18:52:52.482722 [info ]: Loading profiles.yml
